,Country,BusVisa,TourVisa
103,Kiribati,"Business: Visa Required for stays exceeding 30 days, consult Visa Kit for eligibility ",Tourist: No visa required for a stay of up to 120 days.
104,Korea - North,Business: Visa Required ,Tourist: Visa Required 
105,"Korea, Republic of (South)","Business: Visa Required for stays exceeding 90 days, consult Visa Kit for eligibility ",Tourist: No visa is required for a stay of up to 90 days
106,Kosovo,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
107,Kuwait,Business: Visa Required ,Tourist: Visa Required 
108,Kyrgystan,Business: No Visa Required ,Tourist: No Visa Required
109,Laos,Business: Visa Required ,Tourist: Visa Required 
110,Latvia,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
111,Lebanon,Business: Visa Required ,Tourist: Visa Required 
112,Lesotho,"Business: Visa Required for stays exceeding 14 days, consult Visa Kit for eligibility ","Tourist: Visa Required for stays exceeding 14 days, consult Visa Kit for eligibility"
113,Liberia,Business: Visa Required ,Tourist: Visa Required 
114,Libya,Business: Visa Required ,Tourist: Visa Required 
115,Liechtenstein,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
116,Lithuania,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
117,Luxembourg,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
118,"Macau, China","Business: Visa Required for stays exceeding 30 days, consult Visa Kit for eligibility ","Tourist: Visa Required for stays exceeding 30 days, consult Visa Kit for eligibility"
119,Macedonia,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
120,Madagascar,Business: Visa Required ,Tourist: Visa Required 
121,Malawi,Business: Visa Required ,Tourist: Visa Required 
122,Malaysia,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
123,Maldives,Business: Visa Required ,Tourist: Visa Required 
124,Mali,Business: Visa Required ,Tourist: Visa Required 
125,Malta,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
126,Marshall Islands,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
127,Martinique,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
128,Mauritania,Business: Visa Required ,Tourist: Visa Required 
129,Mauritius,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
130,Mexico,Business: No visa is required for a stay of up to 180 days for simple business meetings. A visa should be obtained for people conducting technical activities. ,Tourist: No visa is required for a stay of up to 180 days
131,Micronesia,"Business: Visa Required for stays exceeding 30 days, consult Visa Kit for eligibility ","Tourist: Visa Required for stays exceeding 30 days, consult Visa Kit for eligibility"
132,Moldova,Business: No visa is required for a stay of up to 90 days per 180 days. ,Tourist: No visa is required for a stay of up to 90 days per 180 days.
133,Monaco,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
134,Mongolia,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
